지수명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액,날짜
KRX 기계장비,608.25,-0.59,-0.1,608.33,612.19,603.72,95849139,1134839149220,69671600324520,20210527
KRX 보험,1311.71,-9.43,-0.71,1321.35,1338.66,1310.4,19286593,390563098000,41701098309095,20210527
KRX 운송,1507.99,17.27,1.16,1488.53,1507.99,1479.6,50892318,2056928861505,52657449388460,20210527
KRX 경기소비재,1512.14,-7.09,-0.47,1521.21,1526.45,1504.24,31756675,1114030735070,92731715413625,20210527
KRX 필수소비재,1873.05,-10.81,-0.57,1884.08,1905.42,1873.05,17774397,1004314737740,112788775602240,20210527
KRX 미디어&엔터테인먼트,3553.36,33.49,0.95,3521.16,3567.93,3479.65,17428309,2016717673252,180782904137920,20210527
KRX 정보기술,1732.05,9.16,0.53,1727.73,1736.84,1704.28,50025879,3306883824066,700064121819690,20210527
KRX 유틸리티,955.66,6.77,0.71,948.89,964.56,948.89,12098172,340497431950,21288836692950,20210527
KRX 300 정보기술,2805.77,15.35,0.55,2798.53,2813.72,2760.15,44179081,3225022154176,696336543173370,20210527
KRX 300 금융,891.13,-11.69,-1.29,902.84,908.63,891.13,52160493,1220437838768,152497003897910,20210527
KRX 300 자유소비재,1777.21,-14.28,-0.8,1792.48,1795.04,1769.61,33329942,1981759507660,218327384214800,20210527
KRX 300 산업재,754.17,0.67,0.09,753.85,759.31,751.7,104024401,2882133289470,214229317388570,20210527
KRX 300 헬스케어,3705.47,21.58,0.59,3684.73,3716.15,3629.26,21337105,1580902694370,189298033907900,20210527
KRX 300 커뮤니케이션서비스,2648.86,24.62,0.94,2624.74,2658.48,2595.08,23164278,2274342659582,218278005017350,20210527
KRX 300 소재,1842.67,3.53,0.19,1836.12,1850.27,1815.05,19846101,2111233328381,189362620956020,20210527
KRX 300 필수소비재,1858.47,-11.34,-0.61,1869.97,1891.42,1858.47,14061804,893509560700,103425365731650,20210527
KRX 300,1922.87,12.78,0.67,1913.77,1929.84,1912.48,234219802,10813228145679,2058019926179550,20210528
KTOP 30,11520.68,70.6,0.62,11468.98,11565.12,11453.43,36926313,4494407097432,1201753558550280,20210528
KRX 100,6677.14,45.82,0.69,6645.58,6703.92,6640.33,95180666,7361313101222,1709903556394480,20210528
KRX Mid 200,1832.41,8.03,0.44,1824.86,1833.57,1822.39,144584416,1621297577230,99572362721840,20210528
KRX 자동차,2392.53,90.9,3.95,2311.5,2398.94,2310.42,23888494,1550790040205,140062313771810,20210528
KRX 반도체,3775.97,-7.97,-0.21,3791.08,3800.24,3760.13,10552345,515516541329,126003736687840,20210528
KRX 헬스케어,4411.83,2.13,0.05,4409.21,4448.43,4389.73,22724166,1191829964535,215271121314230,20210528
KRX 은행,789.71,16.53,2.14,774.81,794.25,774.81,10273711,263120403570,80968757597600,20210528
KRX 에너지화학,3957.18,28.65,0.73,3943.45,3980.32,3943.45,10365062,1218520699590,170246504298860,20210528
KRX 철강,2118.22,32.18,1.54,2100.03,2141.79,2099.4,9390089,462223740590,56074287857840,20210528
KRX 방송통신,986.27,0.58,0.06,984.18,991.77,984.18,11303595,190068701909,41622922074734,20210528
KRX 건설,761.23,1.3,0.17,763.24,764.33,757.7,26305602,518142743940,48987492659610,20210528
KRX 증권,868.3,2.29,0.26,865.32,873.12,861.67,17934471,138055891325,31124631104360,20210528
KRX 기계장비,616.05,7.8,1.28,609.25,617.82,606.85,144900290,1108451943185,70579753251065,20210528
KRX 보험,1320.56,8.85,0.67,1314.46,1328.55,1312.78,7999414,104859080550,41910931210320,20210528
KRX 운송,1501.28,-6.71,-0.44,1507.52,1512.54,1491.04,22849781,724686210650,52297952279320,20210528
KRX 경기소비재,1518.5,6.36,0.42,1515.92,1526.45,1510.58,18327004,655125090120,93104075008475,20210528
KRX 필수소비재,1866.71,-6.34,-0.34,1872.84,1883.29,1864.22,10039975,469025323825,112457501243480,20210528
KRX 미디어&엔터테인먼트,3532.34,-21.02,-0.59,3553.53,3559.38,3515.4,10558598,986371307443,179760784995820,20210528
KRX 정보기술,1740.0,7.95,0.46,1735.85,1747.85,1729.87,36930050,1981845601176,703589883138550,20210528
KRX 유틸리티,961.46,5.8,0.61,955.66,971.26,955.66,7888758,210751156900,20981782566350,20210528
KRX 300 정보기술,2818.66,12.89,0.46,2811.49,2831.53,2802.3,30174301,1887098634156,699857353610650,20210528
KRX 300 금융,904.98,13.85,1.55,892.28,909.31,892.28,23181360,474851154555,154648162018200,20210528
KRX 300 자유소비재,1824.07,46.86,2.64,1783.99,1829.56,1783.49,28105708,2090173736810,224230604981860,20210528
KRX 300 산업재,757.56,3.39,0.45,756.05,760.78,753.7,87353362,1869480567590,216089030386420,20210528
KRX 300 헬스케어,3710.79,5.32,0.14,3705.49,3743.21,3687.93,17770562,1090671400940,190043186622310,20210528
KRX 300 커뮤니케이션서비스,2631.67,-17.19,-0.65,2648.93,2654.18,2622.96,13526755,1158262020858,217125433027750,20210528
KRX 300 소재,1857.09,14.42,0.78,1851.4,1869.18,1850.28,17584745,1401207993170,191128885551610,20210528
KRX 300 필수소비재,1852.09,-6.38,-0.34,1858.16,1868.5,1849.47,7321077,393182591200,103173680444100,20210528
KRX 300,1932.64,9.77,0.51,1924.63,1933.75,1916.75,278319769,11293303810625,2068979877957040,20210531
KTOP 30,11535.3,14.62,0.13,11529.7,11554.59,11456.3,36154826,4294206117420,1206258516200500,20210531
KRX 100,6709.98,32.84,0.49,6683.74,6714.35,6653.07,102243805,7123221633970,1718046686762500,20210531
KRX Mid 200,1836.01,3.6,0.2,1833.85,1838.88,1826.63,117386977,1545418517288,99899035876965,20210531
KRX 자동차,2418.24,25.71,1.07,2396.4,2419.24,2380.4,12821365,847629632945,141539740681160,20210531
KRX 반도체,3780.31,4.34,0.11,3777.81,3788.39,3747.81,11873980,571751990290,127371300849850,20210531
KRX 헬스케어,4430.96,19.13,0.43,4417.25,4459.67,4414.58,22543846,1022210121125,216741334484100,20210531
KRX 은행,800.59,10.88,1.38,793.61,803.31,788.48,9540869,266927838080,82153258995190,20210531
KRX 에너지화학,3902.04,-55.14,-1.39,3960.9,3963.0,3876.78,8858137,1029521593310,167835680350110,20210531
KRX 철강,2110.63,-7.59,-0.36,2119.41,2131.68,2068.12,8199318,357120625895,55698447213110,20210531
KRX 방송통신,1000.95,14.68,1.49,987.22,1000.95,987.01,15477331,169107602633,41896085575611,20210531
KRX 건설,760.66,-0.57,-0.07,761.52,761.91,749.84,27003360,517395592215,48848500164230,20210531
KRX 증권,868.73,0.43,0.05,869.95,872.43,858.83,15267323,137955375063,31130156381860,20210531
KRX 기계장비,628.06,12.01,1.95,616.7,629.46,615.19,327062481,1871611869225,72088245201705,20210531
KRX 보험,1321.94,1.38,0.1,1319.95,1329.31,1316.21,8932911,107775381050,42042603381320,20210531
KRX 운송,1482.65,-18.63,-1.24,1506.13,1512.62,1474.46,23050105,769359551465,51649874866970,20210531
KRX 경기소비재,1543.52,25.02,1.65,1522.96,1547.34,1522.96,32824862,1022576458580,94651213000310,20210531
